beta_3y_mthly,change,market_cap,name,one_yr_target_est,pe_ratio,perc_change,price,symbol,volume,volume_3_mth_avg
0.91,+0.73,961.257B,Apple Inc.,193.12,16.82,+0.36%,203.86,AAPL,24.196M,28.307M
1.12,-0.09,108.42B,Texas Instruments Incorporated,109.32,20.65,-0.08%,115.51,TXN,4.196M,5.499M
2.37,-0.99,113.362B,NVIDIA Corporation,183.19,28.10,-0.53%,186.30,NVDA,9.525M,15.613M
1.14,-0.34,113.923B,Accenture plc,183.52,25.99,-0.19%,178.61,ACN,1.279M,1.976M
1.05,+0.65,120.873B,"salesforce.com, inc.",181.63,109.08,+0.42%,155.99,CRM,4.2M,5.305M
1.68,+1.22,124.875B,International Business Machines Corporation,143.72,14.77,+0.88%,140.33,IBM,4.705M,4.254M
0.27,-1.91,126.124B,Broadcom Inc.,312.45,21.04,-0.60%,318.62,AVGO,2.655M,2.694M
1.03,+1.12,132.025B,Adobe Inc.,292.67,50.20,+0.42%,270.57,ADBE,2.029M,2.871M
0.86,+0.66,135.003B,SAP SE,122.47,27.29,+0.59%,112.97,SAP,"481,087","722,966"
1.04,+0.04,186.33B,Oracle Corporation,53.07,19.53,+0.07%,54.52,ORCL,8.021M,14.265M
0.87,+1.01,227.704B,Taiwan Semiconductor Manufacturing Company Limited,42.77,20.36,+2.28%,45.40,TSM,15.957M,7.433M
1.06,+0.09,248.275B,"Cisco Systems, Inc.",55.63,20.58,+0.16%,56.40,CSCO,17.749M,20.34M
1.66,+2.01,11.049B,"Paycom Software, Inc.",178.93,80.85,+1.08%,188.95,PAYC,"700,637","643,741"
2.19,-0.32,46.66M,"Mitcham Industries, Inc.",N/A,,-1.29%,24.57,MINDP,"4,230","2,891"
1.14,+0.12,600.588M,Sohu.com Limited,23.60,,+0.79%,15.31,SOHU,"196,785","306,879"
0.77,+0.06,1.631B,"PROS Holdings, Inc.",41.11,,+0.14%,42.89,PRO,"188,548","256,900"
N/A,+0.46,4.215B,Smartsheet Inc.,51.89,,+1.16%,40.15,SMAR,1.667M,1.33M
0.92,-0.49,4.31B,"j2 Global, Inc.",98.75,34.13,-0.55%,88.40,JCOM,"168,356","350,490"
N/A,-0.53,4.326B,"Pluralsight, Inc.",37.88,,-1.64%,31.80,PS,2.825M,1.722M
1.11,+0.59,4.331B,Science Applications International Corporation,89.67,23.48,+0.81%,73.01,SAIC,"612,672","429,853"
1.17,-3.53,4.379B,CyberArk Software Ltd.,122.35,92.70,-2.91%,117.73,CYBR,1.158M,"964,441"
